Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Seated Barbell Overhead Press,Strength,Shoulders,Push,Intermediate,Barbell,Press the barbell overhead from a seated position.,Perform standing for more core engagement.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",seated barbell overhead press,strength,shoulders,barbell,intermediate,Press the barbell overhead from a seated position.,6.0
Seated Smith Machine Shoulder Press,Strength,Shoulders,Push,Intermediate,Smith Machine,Press the barbell overhead using a Smith machine from a seated position.,Adjust seat height for variation.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",seated smith machine shoulder press,strength,shoulders,smith machine,intermediate,Press the barbell overhead using a Smith machine from a seated position.,6.0
Snatch Grip Behind the Neck Press,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead from behind the neck with a snatch grip.,Perform with a narrower grip for variation.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",snatch grip behind the neck press,strength,shoulders,barbell,advanced,Press the barbell overhead from behind the neck with a snatch grip.,6.0
Squat Jerk,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead and catch it in a squat position.,Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",squat jerk,strength,shoulders,barbell,advanced,Press the barbell overhead and catch it in a squat position.,6.0
Split Jerk,Strength,Shoulders,Push,Advanced,Barbell,"Dip your knees and use your legs to help press the barbell overhead, splitting the legs during the press.",Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers",split jerk,strength,shoulders,barbell,advanced,"Dip your knees and use your legs to help press the barbell overhead, splitting the legs during the press.",6.0
Barbell Preacher Curl,Strength,Arms,Curl,Intermediate,Barbell,"Curl the barbell up from a preacher bench, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",barbell preacher curl,strength,arms,barbell,intermediate,"Curl the barbell up from a preacher bench, focusing on biceps contraction.",6.0
Bodyweight Curl,Strength,Arms,Curl,Beginner,,Perform a bodyweight curl by lying under a bar and pulling your chest to the bar.,Adjust hand position for variation.,Keep your body straight.,Build arm and back strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",bodyweight curl,strength,arms,nan,beginner,Perform a bodyweight curl by lying under a bar and pulling your chest to the bar.,6.0
Cable Curl With Bar,Strength,Arms,Curl,Intermediate,Cable Machine,"Curl the bar attached to a cable machine, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",cable curl with bar,strength,arms,cable machine,intermediate,"Curl the bar attached to a cable machine, focusing on biceps contraction.",6.0
Cable Curl With Rope,Strength,Arms,Curl,Intermediate,Cable Machine,"Curl the rope attached to a cable machine, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",cable curl with rope,strength,arms,cable machine,intermediate,"Curl the rope attached to a cable machine, focusing on biceps contraction.",6.0
Incline Dumbbell Curl,Strength,Arms,Curl,Intermediate,Dumbbells,"Curl the dumbbells up from an incline bench, focusing on biceps contraction.",Adjust bench angle for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",incline dumbbell curl,strength,arms,dumbbells,intermediate,"Curl the dumbbells up from an incline bench, focusing on biceps contraction.",6.0
Machine Bicep Curl,Strength,Arms,Curl,Intermediate,Machine,"Curl the handles of the machine, focusing on biceps contraction.",Adjust seat height for variation.,Keep your back against the seat.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",machine bicep curl,strength,arms,machine,intermediate,"Curl the handles of the machine, focusing on biceps contraction.",6.0
Spider Curl,Strength,Arms,Curl,Intermediate,Barbell or Dumbbells,"Curl the weight up from a spider bench, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",spider curl,strength,arms,barbell or dumbbells,intermediate,"Curl the weight up from a spider bench, focusing on biceps contraction.",6.0
Barbell Standing Triceps Extension,Strength,Arms,Extension,Intermediate,Barbell,Press the barbell overhead and lower it behind your head.,Use dumbbells for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",barbell standing triceps extension,strength,arms,barbell,intermediate,Press the barbell overhead and lower it behind your head.,6.0
Barbell Lying Triceps Extension,Strength,Arms,Extension,Intermediate,Barbell,"Lie on a bench and press the barbell up, lowering it behind your head.",Use dumbbells for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",barbell lying triceps extension,strength,arms,barbell,intermediate,"Lie on a bench and press the barbell up, lowering it behind your head.",6.0
Bench Dip,Strength,Arms,Push,Intermediate,Bench,"Dip between benches, lowering your body and pushing back up.",Use assistance bands if needed.,Keep your shoulders stable.,Build tricep and chest strength.,Controlled descent and ascent.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",bench dip,strength,arms,bench,intermediate,"Dip between benches, lowering your body and pushing back up.",6.0
Close-Grip Push-Up,Strength,Arms,Push,Beginner,,Perform push-ups with a narrow grip to emphasize triceps.,Adjust hand position for variation.,Keep your body straight.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers",close-grip push-up,strength,arms,nan,beginner,Perform push-ups with a narrow grip to emphasize triceps.,6.0
Dumbbell Lying Triceps Extension,Strength,Arms,Extension,Intermediate,Dumbbells,"Lie on a bench and press the dumbbells up, lowering them behind your head.",Use different weights for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",dumbbell lying triceps extension,strength,arms,dumbbells,intermediate,"Lie on a bench and press the dumbbells up, lowering them behind your head.",6.0
Dumbbell Standing Triceps Extension,Strength,Arms,Extension,Intermediate,Dumbbells,Press the dumbbells overhead and lower them behind your head.,Use different weights for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",dumbbell standing triceps extension,strength,arms,dumbbells,intermediate,Press the dumbbells overhead and lower them behind your head.,6.0
Overhead Cable Triceps Extension,Strength,Arms,Extension,Intermediate,Cable Machine,Press the cable overhead and lower it behind your head.,Use different grips for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",overhead cable triceps extension,strength,arms,cable machine,intermediate,Press the cable overhead and lower it behind your head.,6.0
Tricep Bodyweight Extension,Strength,Arms,Extension,Intermediate,,Perform a bodyweight extension by leaning forward and pressing up from a bench.,Adjust hand position for variation.,Keep your body straight.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",tricep bodyweight extension,strength,arms,nan,intermediate,Perform a bodyweight extension by leaning forward and pressing up from a bench.,6.0
Tricep Pushdown With Bar,Strength,Arms,Push,Intermediate,Cable Machine,"Push the bar down attached to a cable machine, focusing on triceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build tricep strength.,Controlled and focused.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",tricep pushdown with bar,strength,arms,cable machine,intermediate,"Push the bar down attached to a cable machine, focusing on triceps contraction.",6.0
Tricep Pushdown With Rope,Strength,Arms,Push,Intermediate,Cable Machine,"Push the rope down attached to a cable machine, focusing on triceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build tricep strength.,Controlled and focused.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers",tricep pushdown with rope,strength,arms,cable machine,intermediate,"Push the rope down attached to a cable machine, focusing on triceps contraction.",6.0
Air Squat,Strength,Legs,Squat,Beginner,,Perform bodyweight squats with proper form and depth.,Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",air squat,strength,legs,nan,beginner,Perform bodyweight squats with proper form and depth.,6.0
Barbell Hack Squat,Strength,Legs,Squat,Intermediate,Barbell,"Perform squats with the barbell behind your legs, focusing on quadriceps.",Use different grips for variation.,Keep your back straight and knees behind toes.,Build leg strength and size.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",barbell hack squat,strength,legs,barbell,intermediate,"Perform squats with the barbell behind your legs, focusing on quadriceps.",6.0
Barbell Walking Lunge,Strength,Legs,Lunge,Intermediate,Barbell,"Step forward into a lunge with each leg, holding a barbell across your shoulders.",Use different weights for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",barbell walking lunge,strength,legs,barbell,intermediate,"Step forward into a lunge with each leg, holding a barbell across your shoulders.",6.0
Body Weight Lunge,Strength,Legs,Lunge,Beginner,,"Step forward into a lunge with each leg, using bodyweight only.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",body weight lunge,strength,legs,nan,beginner,"Step forward into a lunge with each leg, using bodyweight only.",6.0
Bodyweight Leg Curl,Strength,Legs,Curl,Intermediate,,"Lie on the floor and curl your legs up, focusing on hamstrings.",Use a stability ball for variation.,Keep your back flat on the floor.,Build hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",bodyweight leg curl,strength,legs,nan,intermediate,"Lie on the floor and curl your legs up, focusing on hamstrings.",6.0
Box Squat,Strength,Legs,Squat,Intermediate,Box or Bench,"Perform squats to a box or bench, focusing on depth and control.",Adjust box height for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",box squat,strength,legs,box or bench,intermediate,"Perform squats to a box or bench, focusing on depth and control.",6.0
Bulgarian Split Squat,Strength,Legs,Lunge,Intermediate,Bench,Step one leg back onto a bench and perform a lunge.,Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",bulgarian split squat,strength,legs,bench,intermediate,Step one leg back onto a bench and perform a lunge.,6.0
Chair Squat,Strength,Legs,Squat,Beginner,Chair,"Perform squats to a chair, focusing on depth and control.",Adjust chair height for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",chair squat,strength,legs,chair,beginner,"Perform squats to a chair, focusing on depth and control.",6.0
